Environment,Task,Seed,Bin,InaccuracyType,Steps,Collisions,TerminationReason,BugFound
2368,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,8,0,Task Completed,False
8370,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,2,Task Completed,False
9088,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,14,1,Task Completed,False
7971,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,8,0,Task Completed,False
7372,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,9,0,Task Completed,False
7474,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,0,Task Completed,False
3787,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,13,1,Task Completed,False
1886,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,25,0,Task Completed,False
5984,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,17,0,Task Completed,False
3064,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,19,0,Task Completed,False
7486,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,14,0,Task Completed,False
1716,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,13,3,Task Completed,False
6831,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,23,0,Task Completed,False
5586,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,0,Task Completed,False
6698,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,15,0,Task Completed,False
5092,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,11,0,Task Completed,False
9895,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,0,Task Completed,False
9972,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,19,4,Task Completed,False
2958,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,25,0,Task Completed,False
7680,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,18,0,Task Completed,False
9286,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,24,4,Task Completed,False
8360,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,17,0,Task Completed,False
2938,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,9,0,Task Completed,False
6849,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,7,2,Task Completed,False
2572,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,14,0,Task Completed,False
5769,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,13,0,Task Completed,False
5824,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,9,0,Task Completed,False
6125,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,16,0,Task Completed,False
3226,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,0,Task Completed,False
5865,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,17,4,Task Completed,False
7579,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,0,Task Completed,False
9681,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,9,0,Task Completed,False
9590,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,0,Task Completed,False
2185,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,2,Task Completed,False
8223,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,15,0,Task Completed,False
1324,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,8,0,Task Completed,False
6429,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,11,0,Task Completed,False
8310,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,13,0,Task Completed,False
2154,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,25,0,Task Completed,False
1162,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,25,1,Task Completed,False
5691,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,7,0,Task Completed,False
4407,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,7,0,Task Completed,False
4741,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,0,Task Completed,False
1401,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,3,Task Completed,False
2523,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,9,0,Task Completed,False
1579,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,16,5,Task Completed,False
7580,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,0,Task Completed,False
