Seed Number,Bin Number,Environment,Task,Terminated,Execution Time (s)
Unknown,Result_ACAS_5_9472,Env_430,Task_593,False,0.74
Unknown,Result_ACAS_5_9472,Env_430,Task_51,False,1.37
Unknown,Result_ACAS_5_9472,Env_430,Task_146,False,1.54
Unknown,Result_ACAS_5_9472,Env_430,Task_79,False,1.33
Unknown,Result_ACAS_5_9472,Env_430,Task_11,False,0.48
Unknown,Result_ACAS_5_9472,Env_430,Task_331,False,0.51
Unknown,Result_ACAS_5_9472,Env_430,Task_581,False,0.1
Unknown,Result_ACAS_5_9472,Env_430,Task_118,False,0.26
Unknown,Result_ACAS_5_9472,Env_430,Task_253,False,1.7
Unknown,Result_ACAS_5_9472,Env_430,Task_478,False,0.43
Unknown,Result_ACAS_5_9472,Env_430,Task_3,False,0.24
Unknown,Result_ACAS_5_9472,Env_430,Task_469,False,0.44
Unknown,Result_ACAS_5_9472,Env_430,Task_34,False,0.97
Unknown,Result_ACAS_5_9472,Env_430,Task_557,False,1.13
Unknown,Result_ACAS_5_9472,Env_430,Task_314,False,0.75
Unknown,Result_ACAS_5_9472,Env_430,Task_588,False,0.66
Unknown,Result_ACAS_5_9472,Env_430,Task_289,False,0.46
Unknown,Result_ACAS_5_9472,Env_430,Task_93,False,1.22
Unknown,Result_ACAS_5_9472,Env_430,Task_447,False,0.29
Unknown,Result_ACAS_5_9472,Env_430,Task_417,False,1.29
Unknown,Result_ACAS_5_9472,Env_430,Task_434,False,1.31
Unknown,Result_ACAS_5_9472,Env_430,Task_217,False,0.99
Unknown,Result_ACAS_5_9472,Env_430,Task_182,False,0.55
Unknown,Result_ACAS_5_9472,Env_430,Task_624,False,0.95
Unknown,Result_ACAS_5_9472,Env_430,Task_238,False,1.22
Unknown,Result_ACAS_5_9472,Env_430,Task_519,False,0.32
Unknown,Result_ACAS_5_9472,Env_430,Task_92,False,0.78
Unknown,Result_ACAS_5_9472,Env_430,Task_156,False,0.91
Unknown,Result_ACAS_5_9472,Env_430,Task_160,False,0.87
Unknown,Result_ACAS_5_9472,Env_430,Task_30,False,0.25
Unknown,Result_ACAS_5_9472,Env_430,Task_200,False,1.41
Unknown,Result_ACAS_5_9472,Env_430,Task_138,False,0.83
Unknown,Result_ACAS_5_9472,Env_430,Task_15,False,0.48
Unknown,Result_ACAS_5_9472,Env_430,Task_302,False,1.58
Unknown,Result_ACAS_5_9472,Env_430,Task_415,False,1.12
Unknown,Result_ACAS_5_9472,Env_430,Task_582,False,0.17
Unknown,Result_ACAS_5_9472,Env_430,Task_527,False,0.62
Unknown,Result_ACAS_5_9472,Env_430,Task_459,False,1.22
Unknown,Result_ACAS_5_9472,Env_430,Task_265,False,0.95
Unknown,Result_ACAS_5_9472,Env_430,Task_427,False,0.66
Unknown,Result_ACAS_5_9472,Env_430,Task_493,False,1.82
Unknown,Result_ACAS_5_9472,Env_430,Task_561,False,0.31
Unknown,Result_ACAS_5_9472,Env_430,Task_542,False,0.54
Unknown,Result_ACAS_5_9472,Env_430,Task_249,False,0.88
Unknown,Result_ACAS_5_9472,Env_430,Task_402,False,0.67
Unknown,Result_ACAS_5_9472,Env_430,Task_269,False,0.78
Unknown,Result_ACAS_5_9472,Env_430,Task_384,False,0.84
Unknown,Result_ACAS_5_9472,Env_430,Task_348,False,1.62
